1 66	2.1449101282656257e-05 0.0007451564828614009
12 105 51 28	1.0 0.004470938897168405
12 105 53	0.16666666666666666 0.023099850968703428
12 105 55 40	1.0 0.009687034277198211
12 105 56 12	1.0 0.01713859910581222
12 105 56 40	1.0 0.01713859910581222
12 105 57	0.019079885877318115 0.05290611028315946
12 105 57 52	0.010416666666666666 0.0014903129657228018
12 105 58 12	0.358695652173913 0.02459016393442623
12 105 58 39	0.43669250645994834 0.08271236959761549
12 105 58 40	0.4176829268292683 0.14456035767511177
12 105 58 57	0.09055118110236221 0.01713859910581222
12 105 63 34	1.0 0.014157973174366617
12 105 63 117	1.0 0.014157973174366617
12 105 67 21	0.009328358208955223 0.023099850968703428
12 105 67 61	0.21708355827484854 0.19374068554396423
12 105 69 61	0.11982248520710059 0.05961251862891207
12 105 73 12	0.47513357994245786 0.08941877794336811
12 105 73 39	0.17559523809523808 0.10804769001490314
12 105 73 40	0.8734099302421009 0.20417287630402384
12 105 73 53	1.0 0.0037257824143070045
12 105 73 57	0.07879924953095685 0.01713859910581222
12 105 79 28	0.8554216867469879 0.05290611028315946
12 105 79 52	0.5 0.0022354694485842027
12 105 79 53	1.0 0.004470938897168405
12 105 88 12	0.14516129032258066 0.026825633383010434
12 105 88 39	0.09771986970684039 0.044709388971684055
12 105 88 40	0.22371364653243847 0.11177347242921014
12 105 97 28	1.0 0.019374068554396422
12 105 109 12	0.011083743842364532 0.0067064083457526085
12 105 109 39	0.01788617886178862 0.00819672131147541
12 105 115 39	0.5217391304347826 0.05365126676602087
12 105 115 40	0.043076923076923075 0.0029806259314456036
12 105 120 40	1.0 0.009687034277198211
12 105 121 40	1.0 0.01713859910581222
12 105 121 56	0.03225806451612903 0.0029806259314456036
12 105 123 12	0.2213375796178344 0.09687034277198212
12 105 123 39	0.653997378768021 0.1497764530551416
12 105 123 40	0.41515151515151516 0.1453055141579732
12 105 123 57	0.13108614232209737 0.02384500745156483
12 108 12	0.3333333333333333 0.0029806259314456036
12 108 43	0.2682926829268293 0.01639344262295082
12 117	0.0011248593925759281 0.0022354694485842027
12 117 0 39	1.0 0.014157973174366617
12 117 14 12	1.0 0.06259314456035768
12 117 14 39	1.0 0.05365126676602087
12 117 14 57	1.0 0.05141579731743666
12 117 15 80	0.029185867895545316 0.005961251862891207
12 117 27 27	0.14022140221402213 0.014157973174366617
12 117 27 52	0.8421052631578947 0.00894187779433681
12 117 28	0.9377162629757786 0.1825633383010432
12 117 30	0.09006734006734007 0.027570789865871834
12 117 30 34	0.6585535465924895 0.06631892697466468
12 117 30 95	0.0018513355752644142 0.09239940387481371
12 117 30 117	0.33557692307692305 0.04843517138599106
12 117 32 28	1.0 0.06855439642324888
12 117 32 52	0.25 0.01713859910581222
12 117 33	0.03987240829346093 0.01713859910581222
12 117 33 33	1.0 0.0029806259314456036
12 117 33 52	0.35294117647058826 0.0037257824143070045
12 117 42 28	1.0 0.01713859910581222
12 117 45 28	1.0 0.01713859910581222
12 117 52	0.6908200103145952 0.4165424739195231
12 117 52 92	0.008977084809827545 0.007451564828614009
12 117 52 117	0.003228427855140884 0.005216095380029807
12 117 53	1.0 0.023099850968703428
12 117 56	0.23626373626373626 0.03204172876304024
12 117 56 39	1.0 0.023099850968703428
12 117 56 52	0.03225806451612903 0.0007451564828614009
12 117 77 12	0.029283489096573207 0.011177347242921014
12 117 77 20	0.3224368499257058 0.03576751117734724
12 117 77 40	0.016453382084095063 0.005216095380029807
12 117 81 12	0.4582651391162029 0.13487332339791355
12 117 81 39	0.6742010911925176 0.12220566318926974
12 117 81 40	0.3968048359240069 0.169150521609538
12 117 92 18	0.028528528528528527 0.014157973174366617
12 117 92 52	0.8421052631578947 0.00894187779433681
12 117 93 53	0.15789473684210525 0.0037257824143070045
12 117 97 52	0.9583333333333334 0.01713859910581222
12 117 98 52	0.6666666666666666 0.0037257824143070045
12 117 99	0.2459016393442623 0.022354694485842028
12 117 99 95	0.010584084672677381 0.009687034277198211
12 117 104 12	0.1111111111111111 0.013412816691505217
12 117 104 20	0.3537848605577689 0.03651266766020864
12 117 104 39	0.0704392091866935 0.007451564828614009
12 117 104 40	0.03992953611274222 0.01639344262295082
12 117 104 57	0.011273957158962795 0.014157973174366617
12 117 105 12	0.08184143222506395 0.019374068554396422
12 117 105 20	0.49987129987129986 0.038002980625931444
12 117 105 40	0.043785474342638714 0.0029806259314456036
12 117 105 57	0.006289308176100629 0.0029806259314456036
12 117 108 12	0.3939393939393939 0.009687034277198211
12 117 108 39	0.6032388663967612 0.038002980625931444
12 117 108 40	0.2384937238493724 0.045454545454545456
12 117 110 12	0.11583011583011583 0.07824143070044709
12 117 110 39	0.3803698039760879 0.14008941877794337
12 117 110 40	0.13971445221445222 0.13189269746646795
12 117 110 57	0.01896505012191818 0.05216095380029806
12 117 118 21	0.5901639344262295 0.01564828614008942
12 117 122 39	0.056074766355140186 0.0022354694485842027
12 117 122 40	0.030303030303030304 0.0014903129657228018
12 117 124 28	0.02564102564102564 0.0014903129657228018
12 117 126 61	0.08563425370148059 0.011177347242921014
12 118 8 40	1.0 0.0037257824143070045
12 118 10 28	0.5189982728842832 0.1572280178837556
12 118 10 53	0.5 0.05514157973174367
12 118 12	0.4 0.0029806259314456036
12 118 14 12	1.0 0.0037257824143070045
12 118 14 40	0.5454545454545454 0.004470938897168405
12 118 20 34	0.2857142857142857 0.0029806259314456036
12 118 20 95	0.010416666666666666 0.0029806259314456036
12 118 21 34	0.8090909090909091 0.10134128166915052
12 118 21 95	0.022347565329144652 0.10357675111773472
12 118 21 117	0.5181058495821727 0.08047690014903129
12 118 28	0.6537102473498233 0.17436661698956782
12 118 28 52	0.01483679525222552 0.0037257824143070045
12 118 28 92	0.05235602094240838 0.007451564828614009
12 118 30	0.024742268041237112 0.0037257824143070045
12 118 30 34	0.8 0.12518628912071536
12 118 30 95	0.006804903583127892 0.12965722801788376
12 118 30 117	0.46833013435700577 0.039493293591654245
12 118 33 53	1.0 0.0029806259314456036
12 118 40	0.27927927927927926 0.023099850968703428
12 118 40 92	0.08247422680412371 0.005961251862891207
12 118 52	0.8157894736842105 0.023099850968703428
12 118 53	0.9983799108950993 0.481371087928465
12 118 53 18	0.003816793893129771 0.0022354694485842027
12 118 53 92	0.004260263361735089 0.0014903129657228018
12 118 59	0.09961685823754789 0.019374068554396422
12 118 59 56	0.19594594594594594 0.012667660208643815
12 118 73 40	1.0 0.0037257824143070045
12 118 75 39	0.19154676258992806 0.05588673621460507
12 118 75 40	0.10041048310704137 0.07824143070044709
12 118 75 53	0.16982562547384383 0.05737704918032787
12 118 79 28	1.0 0.013412816691505217
12 118 81 39	0.75 0.014157973174366617
12 118 97 28	0.9903846153846154 0.07675111773472429
12 118 97 53	1.0 0.02384500745156483
12 118 98 12	1.0 0.012667660208643815
12 118 98 40	0.92 0.013412816691505217
12 118 98 53	1.0 0.0029806259314456036
12 118 108 12	0.05 0.0022354694485842027
12 118 108 39	1.0 0.05141579731743666
12 118 109 40	0.3333333333333333 0.0022354694485842027
12 118 110 12	0.9247311827956989 0.06259314456035768
12 118 110 39	0.208955223880597 0.010432190760059613
12 118 110 40	0.3519108280254777 0.12816691505216096
12 121 28	1.0 0.020119225037257823
12 121 52	0.3282442748091603 0.03204172876304024
12 121 52 92	0.15625 0.018628912071535022
12 121 56	0.8503253796095445 0.22801788375558868
12 121 56 39	1.0 0.0037257824143070045
12 121 56 40	1.0 0.0029806259314456036
12 121 81 40	0.2222222222222222 0.014157973174366617
12 121 85 12	0.0967741935483871 0.0022354694485842027
12 121 99	1.0 0.0022354694485842027
12 121 124 28	0.2217741935483871 0.040983606557377046
12 121 124 53	0.23015873015873015 0.012667660208643815
12 122 8 40	1.0 0.01713859910581222
12 122 12	0.7407407407407407 0.05886736214605067
12 122 20	0.03419689119170984 0.02459016393442623
12 122 20 34	0.5220522052205221 0.10432190760059612
12 122 20 95	0.02026234794078851 0.12220566318926974
12 122 20 117	0.1518418688230009 0.05514157973174367
12 122 39	0.7544031311154599 0.15797317436661698
12 122 40	0.1903914590747331 0.05439642324888227
12 122 40 52	0.012578616352201259 0.0029806259314456036
12 122 40 117	0.007633587786259542 0.0022354694485842027
12 122 45 52	0.7216494845360825 0.05216095380029806
12 122 57	0.9836601307189542 0.26229508196721313
12 122 57 34	0.08860759493670886 0.010432190760059613
12 122 58 40	0.9090909090909091 0.02384500745156483
12 122 73 40	1.0 0.01713859910581222
12 122 79 52	1.0 0.05141579731743666
12 122 123 39	1.0 0.01713859910581222
12 122 123 40	1.0 0.01713859910581222
12 124 28	0.5 0.019374068554396422
12 124 53	1.0 0.019374068554396422
12 124 59	0.3333333333333333 0.019374068554396422
12 126 2 12	0.2079676835213818 0.11922503725782414
12 126 2 20	0.0433832709113608 0.042473919523099854
12 126 2 39	0.2592401137244766 0.13710879284649777
12 126 2 40	0.15660565147777922 0.19895678092399405
12 126 2 57	0.0015936254980079682 0.0014903129657228018
12 126 4 20	0.15090543259557343 0.03427719821162444
12 126 4 39	0.287593984962406 0.11400894187779434
12 126 4 40	0.0802775024777007 0.06035767511177347
12 126 21	0.11140647655872402 0.04769001490312966
12 126 21 27	0.03641915336571825 0.03204172876304024
12 126 21 34	0.1615258855585831 0.11251862891207154
12 126 21 83	0.009509748745268254 0.05141579731743666
12 126 21 95	0.0014829533775119663 0.07153502235469449
12 126 21 117	0.014571700939670435 0.029061102831594635
12 126 31 39	0.08 0.004470938897168405
12 126 55 39	1.0 0.05141579731743666
12 126 61	0.6024091398294561 0.496274217585693
12 126 61 18	0.003121787183002056 0.04694485842026826
12 126 61 27	0.024004753416518122 0.03427719821162444
12 126 61 34	0.19317073170731708 0.05663189269746647
12 126 61 52	0.005549936461007806 0.011177347242921014
12 126 61 83	0.003085027328171101 0.04694485842026826
12 126 61 92	0.027838878196315645 0.03576751117734724
12 126 61 95	8.326807998219344e-05 0.018628912071535022
12 126 61 99	0.0043030802883063796 0.01564828614008942
12 126 61 117	0.012462040036969704 0.06184798807749627
16 28	0.4375 0.005216095380029807
16 28 27 27	0.2857142857142857 0.0014903129657228018
16 28 30 95	0.03496503496503497 0.0029806259314456036
16 28 52 34	0.36 0.0029806259314456036
16 28 52 117	0.18840579710144928 0.004470938897168405
16 28 77 12	0.3847352024922118 0.00894187779433681
16 28 77 40	0.10285714285714286 0.0067064083457526085
16 28 92 27	0.3181818181818182 0.0022354694485842027
16 28 93 28	0.461864406779661 0.005216095380029807
16 28 93 53	0.3 0.0037257824143070045
16 28 104 39	0.4947988904299584 0.005216095380029807
16 28 104 40	0.19861830742659758 0.004470938897168405
16 28 104 57	0.026845637583892617 0.0022354694485842027
16 28 105 12	0.16666666666666666 0.00819672131147541
16 28 105 39	0.26426076833527357 0.005216095380029807
16 28 105 40	0.5227480916030535 0.005216095380029807
16 28 117 52	0.5483870967741935 0.0037257824143070045
16 28 118 53	0.5196078431372549 0.004470938897168405
16 28 126 61	0.31921824104234525 0.005216095380029807
16 30	0.06666666666666667 0.0007451564828614009
16 30 18 18	3.8012928082759114e-07 0.0014903129657228018
16 30 18 83	3.3195443681904783e-07 0.0014903129657228018
16 30 85 12	0.3554817275747508 0.010432190760059613
16 30 85 20	0.0410522483160386 0.0022354694485842027
16 30 85 39	0.5023372887450558 0.007451564828614009
16 30 85 40	0.3336734693877551 0.00819672131147541
16 30 86 61	0.12654320987654322 0.0067064083457526085
16 30 95	0.009523809523809525 0.005216095380029807
16 30 95 53	0.5625 0.005961251862891207
16 30 105 39	0.06666666666666667 0.0007451564828614009
16 30 117	0.38461538461538464 0.0029806259314456036
16 32 81 12	0.02727272727272727 0.0022354694485842027
16 32 81 39	0.023809523809523808 0.0014903129657228018
16 32 81 40	0.04419889502762431 0.004470938897168405
16 32 108 39	0.1724137931034483 0.0007451564828614009
16 33 81 12	0.03571428571428571 0.0029806259314456036
16 33 81 39	0.023255813953488372 0.0014903129657228018
16 33 81 40	0.06153846153846154 0.005216095380029807
16 33 108 39	0.1724137931034483 0.0007451564828614009
16 33 108 40	0.037037037037037035 0.0022354694485842027
16 52	0.28888888888888886 0.00894187779433681
16 52 30 95	0.023501762632197415 0.0037257824143070045
16 52 77 12	0.3631647211413748 0.013412816691505217
16 52 77 39	0.3333333333333333 0.007451564828614009
16 52 77 40	0.17511520737327188 0.00894187779433681
16 52 92 27	0.19148936170212766 0.0037257824143070045
16 52 92 92	0.3333333333333333 0.0037257824143070045
16 52 93 28	0.5621890547263682 0.007451564828614009
16 52 93 53	0.4827586206896552 0.004470938897168405
16 52 99 34	0.4126984126984127 0.004470938897168405
16 52 104 12	0.22857142857142856 0.007451564828614009
16 52 104 39	0.6561041513141734 0.00894187779433681
16 52 104 40	0.3094059405940594 0.009687034277198211
16 52 104 57	0.030707610146862484 0.005216095380029807
16 52 105 12	0.18951612903225806 0.013412816691505217
16 52 105 20	0.02976190476190476 0.0007451564828614009
16 52 105 39	0.4144736842105263 0.011922503725782414
16 52 105 40	0.5804147465437788 0.00894187779433681
16 52 105 57	0.0196078431372549 0.0029806259314456036
16 52 117 52	0.39215686274509803 0.00894187779433681
16 52 117 56	0.13333333333333333 0.0014903129657228018
16 52 118 53	0.6273291925465838 0.00819672131147541
16 52 122 39	0.5 0.005961251862891207
16 52 122 40	0.3617021276595745 0.0037257824143070045
16 52 122 57	0.40425531914893614 0.005216095380029807
16 52 126 61	0.31973684210526315 0.00819672131147541
16 53	0.5 0.0007451564828614009
16 53 104 39	0.4984025559105431 0.0007451564828614009
16 53 104 40	0.2894736842105263 0.0007451564828614009
16 53 105 40	0.49742268041237114 0.0007451564828614009
16 53 122 57	0.5 0.0007451564828614009
16 56	0.16666666666666666 0.0007451564828614009
16 56 77 40	0.8181818181818182 0.0007451564828614009
16 56 104 39	1.0 0.0007451564828614009
16 56 104 40	0.31297709923664124 0.0007451564828614009
16 56 105 39	0.5394736842105263 0.0007451564828614009
16 56 105 40	1.0 0.0007451564828614009
16 81 8 12	0.14893617021276595 0.005216095380029807
16 81 8 39	0.024390243902439025 0.0022354694485842027
16 81 8 40	0.03508771929824561 0.005961251862891207
16 81 10 28	0.10204081632653061 0.01564828614008942
16 81 12	0.3105475927967659 0.4262295081967213
16 81 12 27	0.00421792618629174 0.0067064083457526085
16 81 12 83	0.0031980811513092145 0.0067064083457526085
16 81 12 92	0.004782781984854523 0.007451564828614009
16 81 12 117	0.0010586491636671606 0.0029806259314456036
16 81 16 28	0.2693409742120344 0.009687034277198211
16 81 16 30	0.05555555555555555 0.0037257824143070045
16 81 16 52	0.11153846153846154 0.014903129657228018
16 81 20	0.15570703020582732 0.019374068554396422
16 81 20 18	0.00327090818909848 0.020864381520119227
16 81 20 34	0.08700564971751412 0.05290611028315946
16 81 20 83	0.003204571867589023 0.020864381520119227
16 81 20 92	0.036571901738890425 0.012667660208643815
16 81 20 95	0.0010044519083001948 0.06259314456035768
16 81 20 117	0.045888308024230356 0.02384500745156483
16 81 23 12	0.14942528735632185 0.007451564828614009
16 81 23 39	0.10365853658536585 0.00894187779433681
16 81 23 40	0.04 0.009687034277198211
16 81 35 80	0.000670596911508852 0.03502235469448584
16 81 39	0.0958570268074736 0.10581222056631892
16 81 39 27	0.010314778587942379 0.0067064083457526085
16 81 39 33	0.10526315789473684 0.0014903129657228018
16 81 39 52	0.014243973703433162 0.0067064083457526085
16 81 39 92	0.011760169654906496 0.007451564828614009
16 81 40	0.06995295561464512 0.1587183308494784
16 81 40 27	0.005542038388753718 0.013412816691505217
16 81 40 33	0.025 0.0014903129657228018
16 81 40 52	0.008788853161843515 0.0067064083457526085
16 81 40 83	0.0029287937030935385 0.004470938897168405
16 81 40 92	0.00597864768683274 0.011922503725782414
16 81 40 99	0.01465856274579907 0.009687034277198211
16 81 40 117	0.000245293432268351 0.0029806259314456036
16 81 43 28	0.2033898305084746 0.007451564828614009
16 81 44 12	0.02821316614420063 0.005961251862891207
16 81 44 39	0.035398230088495575 0.005216095380029807
16 81 44 40	0.012738853503184714 0.0029806259314456036
16 81 45 28	0.05838815789473684 0.018628912071535022
16 81 45 52	0.039378238341968914 0.019374068554396422
16 81 45 53	0.02711864406779661 0.005961251862891207
16 81 50 40	0.02127659574468085 0.0014903129657228018
16 81 57	0.008396305625524769 0.007451564828614009
16 81 57 27	0.004975124378109453 0.0007451564828614009
16 81 58 39	0.030927835051546393 0.0022354694485842027
16 81 58 40	0.1261682242990654 0.01564828614008942
16 81 67 61	0.028477770948576113 0.03427719821162444
16 81 69 61	0.038011695906432746 0.00819672131147541
16 81 73 12	0.14893617021276595 0.005216095380029807
16 81 73 39	0.024390243902439025 0.0022354694485842027
16 81 73 40	0.03508771929824561 0.005961251862891207
16 81 79 28	0.39285714285714285 0.007451564828614009
16 81 88 12	0.14942528735632185 0.007451564828614009
16 81 88 39	0.10365853658536585 0.00894187779433681
16 81 88 40	0.043076923076923075 0.010432190760059613
16 81 109 12	0.02669902912621359 0.00819672131147541
16 81 109 39	0.04 0.005961251862891207
16 81 115 40	0.024096385542168676 0.0014903129657228018
16 81 123 39	0.050359712230215826 0.004470938897168405
16 81 123 40	0.02247191011235955 0.0022354694485842027
16 97 81 12	0.033707865168539325 0.0014903129657228018
16 97 81 40	0.03669724770642202 0.0029806259314456036
16 98 81 12	0.04395604395604396 0.0022354694485842027
16 98 81 40	0.03286384976525822 0.0029806259314456036
16 107 52	0.0625 0.0007451564828614009
16 107 52 92	0.0625 0.0014903129657228018
16 108 12	0.09572901325478646 0.040238450074515646
16 108 12 27	0.002509410288582183 0.0014903129657228018
16 108 12 92	0.002570694087403599 0.0014903129657228018
16 108 16 28	0.175 0.004470938897168405
16 108 16 52	0.26666666666666666 0.005961251862891207
16 108 20	0.05345911949685535 0.014157973174366617
16 108 20 18	0.0006040414307397198 0.012667660208643815
16 108 20 34	0.08844339622641509 0.029061102831594635
16 108 20 83	0.000596492354590203 0.012667660208643815
16 108 20 95	0.0007763975155279503 0.040983606557377046
16 108 20 117	0.04216216216216216 0.011177347242921014
16 108 23 39	0.10606060606060606 0.0037257824143070045
16 108 35 80	0.00046492805199780047 0.022354694485842028
16 108 39	0.11428571428571428 0.04918032786885246
16 108 39 27	0.01598781880472021 0.005961251862891207
16 108 39 33	0.05263157894736842 0.0014903129657228018
16 108 39 52	0.006488240064882401 0.0029806259314456036
16 108 39 92	0.02055256064690027 0.005961251862891207
16 108 40	0.052294557097118465 0.05141579731743666
16 108 40 27	0.0033589251439539347 0.0029806259314456036
16 108 40 33	0.03076923076923077 0.0014903129657228018
16 108 43	0.00016815200941651252 0.0014903129657228018
16 108 43 52	0.20408163265306123 0.004470938897168405
16 108 44 40	0.008955223880597015 0.0022354694485842027
16 108 45 28	0.04149377593360996 0.014157973174366617
16 108 45 52	0.033680039623576026 0.012667660208643815
16 108 57	0.015486725663716814 0.0029806259314456036
16 108 57 27	0.007194244604316547 0.0007451564828614009
16 108 58 39	0.5 0.0014903129657228018
16 108 65 28	0.05128205128205128 0.0014903129657228018
16 108 67 61	0.016216216216216217 0.0022354694485842027
16 108 109 12	0.03968253968253968 0.0037257824143070045
16 108 109 39	0.029411764705882353 0.0029806259314456036
16 108 123 12	0.01680672268907563 0.0014903129657228018
16 108 123 39	0.075 0.0014903129657228018
16 110 12	0.3076923076923077 0.0029806259314456036
20	0.10319410319410319 0.03129657228017884
20 1 66	0.0012470901230462255 0.0037257824143070045
20 1 66 12	0.07012345679012345 0.02608047690014903
20 1 66 34	0.22375690607734808 0.022354694485842028
20 1 66 39	0.10141139571353894 0.027570789865871834
20 1 66 40	0.045721583652618136 0.023099850968703428
20 1 66 95	0.01387434554973822 0.03353204172876304
20 1 66 117	0.296 0.013412816691505217
20 1 121 34	0.17073170731707318 0.005216095380029807
20 15 80	0.0030195334420009086 0.06259314456035768
20 15 80 27	0.0016049576274682928 0.03278688524590164
20 15 80 30	0.03251477269352971 0.010432190760059613
20 15 80 34	0.07914865314266711 0.05216095380029806
20 15 80 56	0.003787878787878788 0.0007451564828614009
20 15 80 92	0.0015572617243437999 0.029061102831594635
20 15 80 95	0.0015581562191731683 0.08569299552906111
20 15 80 117	0.008095403899721448 0.019374068554396422
20 15 100 6	2.4091741351064854e-05 0.0007451564828614009
20 15 100 12	0.06386629858986793 0.11400894187779434
20 15 100 20	0.02714712059246159 0.020119225037257823
20 15 100 39	0.07655152549132564 0.10208643815201192
20 15 100 40	0.037522537632605144 0.09165424739195231
20 15 100 57	0.0009920072558244997 0.022354694485842028
20 15 103 28	0.19321148825065274 0.027570789865871834
20 18	0.001803355809941979 0.01639344262295082
20 18 15 80	0.00044973016190285827 0.05961251862891207
20 18 18	0.0035947848399436317 0.045454545454545456
20 18 18 18	0.009517036313014263 0.046199701937406856
20 18 18 27	0.003493100926265711 0.039493293591654245
20 18 18 34	0.03190736782675846 0.09090909090909091
20 18 18 56	1.7272652975708633e-07 0.004470938897168405
20 18 18 83	0.009403063987906883 0.043964232488822655
20 18 18 92	0.0035467130928417004 0.039493293591654245
20 18 18 95	0.0007592789777372061 0.11624441132637854
20 18 18 98	7.136084208278033e-08 0.0007451564828614009
20 18 18 117	0.04579131752111047 0.040983606557377046
20 18 27	0.004253049422399393 0.03651266766020864
20 18 27 18	0.0032776667156719187 0.042473919523099854
20 18 27 34	0.012853824652572734 0.07153502235469449
20 18 27 83	0.0032022889452271138 0.042473919523099854
20 18 27 92	0.004249012537280586 0.038002980625931444
20 18 27 95	0.0003154786153506408 0.10059612518628912
20 18 27 117	0.00996690675491532 0.022354694485842028
20 18 33 98	0.0034853948550209795 0.01788375558867362
20 18 34	0.0044964028776978415 0.027570789865871834
20 18 45 110	0.002229366657671118 0.044709388971684055
20 18 77 12	0.008662175168431183 0.08494783904619971
20 18 77 20	0.009859758711494887 0.02608047690014903
20 18 77 39	0.01953125 0.03278688524590164
20 18 77 40	0.01088646967340591 0.042473919523099854
20 18 83	0.0034868880287534107 0.043964232488822655
20 18 83 18	0.004133419157516 0.046199701937406856
20 18 83 27	0.0035481934815848933 0.039493293591654245
20 18 83 34	0.030212647845515684 0.09090909090909091
20 18 83 56	1.5902216530556425e-07 0.004470938897168405
20 18 83 83	0.004094161510439954 0.043964232488822655
20 18 83 92	0.0036304852004192885 0.039493293591654245
20 18 83 95	0.0007342178323137517 0.11624441132637854
20 18 83 98	6.75023298535341e-08 0.0007451564828614009
20 18 83 117	0.04016068775038882 0.03353204172876304
20 18 85 12	0.011708084594381971 0.12593144560357675
20 18 85 20	0.00677917482271764 0.04769001490312966
20 18 85 39	0.008736725469963104 0.1587183308494784
20 18 85 40	0.005264651429957594 0.14157973174366617
20 18 85 57	0.0002537248213354383 0.029061102831594635
20 18 86 21	0.01446341020519339 0.03576751117734724
20 18 86 61	0.012236714753191685 0.08271236959761549
20 18 92	0.0041101025517444505 0.03651266766020864
20 18 92 18	0.0028182067719904297 0.042473919523099854
20 18 92 34	0.01281089503145017 0.07153502235469449
20 18 92 83	0.0027825929397071003 0.042473919523099854
20 18 92 95	0.0003373968031541475 0.10134128166915052
20 18 92 98	0.000873871249635887 0.0007451564828614009
20 18 92 117	0.01002401189160346 0.022354694485842028
20 18 95	6.988434141495825e-05 0.020119225037257823
20 18 95 27	6.127651230432367e-05 0.007451564828614009
20 18 95 28	0.009649820931157979 0.03129657228017884
20 18 95 30	0.005678998618343701 0.03651266766020864
20 18 95 34	0.00211118930330753 0.004470938897168405
20 18 95 53	0.011351113070310778 0.026825633383010434
20 18 95 92	4.069678412632282e-05 0.0029806259314456036
20 18 95 99	0.0011894414200100646 0.018628912071535022
20 18 102 40	0.060714285714285714 0.011177347242921014
20 18 105 12	0.0091164095371669 0.009687034277198211
20 18 105 20	0.009464196294441663 0.026825633383010434
20 18 108 39	0.006379585326953748 0.0014903129657228018
20 18 117	0.003787878787878788 0.00894187779433681
20 18 118 12	0.006993006993006993 0.0014903129657228018
20 18 118 39	0.006993006993006993 0.0014903129657228018
20 18 126 21	0.01702597131526374 0.028315946348733235
20 18 126 61	0.008982373501371784 0.07600596125186289
20 19 84	0.007626459143968872 0.011922503725782414
20 19 84 34	0.01622108741363773 0.02608047690014903
20 19 84 83	0.009579472747808779 0.01564828614008942
20 19 84 95	0.0009575104727707959 0.030551415797317436
20 19 121 95	0.0020964360587002098 0.0007451564828614009
20 27	0.0038192234245703373 0.004470938897168405
20 27 15 80	0.0009054968109688816 0.05216095380029806
20 27 18	0.007342186436505293 0.03353204172876304
20 27 18 18	0.003831700158164279 0.038002980625931444
20 27 18 27	0.007700173240104901 0.03278688524590164
20 27 18 34	0.01403349932095971 0.07078986587183309
20 27 18 83	0.003652134239383036 0.03651266766020864
20 27 18 92	0.007589730965486907 0.03278688524590164
20 27 18 95	0.0003834250140769646 0.09463487332339791
20 27 18 98	0.0005268703898840885 0.0007451564828614009
20 27 18 117	0.014613218930151495 0.02459016393442623
20 27 27	0.03141287505282434 0.03204172876304024
20 27 27 34	0.07059373539036932 0.06482861400894188
20 27 27 95	0.0012066059530470663 0.10730253353204174
20 27 27 98	0.007374631268436578 0.0007451564828614009
20 27 27 117	0.04445394315024578 0.023099850968703428
20 27 45 110	0.0030388404456641455 0.03651266766020864
20 27 77 12	0.01340033500837521 0.03278688524590164
20 27 83	0.007441121225256466 0.03427719821162444
20 27 83 18	0.00475758322183687 0.038002980625931444
20 27 83 27	0.00661246743707865 0.03278688524590164
20 27 83 34	0.014154100555139966 0.07228017883755589
20 27 83 83	0.005188736019310228 0.03651266766020864
20 27 83 92	0.0067901883324162976 0.03278688524590164
20 27 83 95	0.00038361115414180323 0.09612518628912071
20 27 85 12	0.011693242217160213 0.046199701937406856
20 27 85 20	0.006095335133118589 0.029806259314456036
20 27 85 39	0.009488753350685676 0.09090909090909091
20 27 85 40	0.005623311180895348 0.08196721311475409
20 27 86 21	0.02462539833209031 0.019374068554396422
20 27 86 61	0.019532518125743966 0.03502235469448584
20 27 92	0.031305780584923795 0.03204172876304024
20 27 92 18	0.010165824334144723 0.03427719821162444
20 27 92 27	0.019781966315107282 0.03129657228017884
20 27 92 34	0.07281553398058252 0.06780923994038748
20 27 92 83	0.011173756058002356 0.03427719821162444
20 27 92 92	0.01829771799442811 0.030551415797317436
20 27 92 95	0.0012978833050216632 0.11102831594634874
20 27 92 98	0.007751937984496124 0.0007451564828614009
20 27 92 117	0.04714316749945688 0.02608047690014903
20 27 95	0.00011745557662298438 0.009687034277198211
20 27 95 27	0.00014439506489755973 0.00819672131147541
20 27 95 28	0.00887688151292937 0.009687034277198211
20 27 95 30	0.012210434242826106 0.026825633383010434
20 27 95 52	9.839526271535145e-05 0.0037257824143070045
20 27 95 92	0.00011194750745263447 0.005216095380029807
20 27 126 21	0.03743409490333919 0.014903129657228018
20 30 85 39	0.10547504025764895 0.0014903129657228018
20 30 85 40	0.0723917672107878 0.0014903129657228018
20 30 95	0.016597510373443983 0.005216095380029807
20 30 117	0.19047619047619047 0.0029806259314456036
20 30 117 34	0.1111111111111111 0.0007451564828614009
20 33 98	0.0207492795389049 0.014903129657228018
20 33 98 27	0.020536046655912646 0.012667660208643815
20 33 98 34	0.08846918489065607 0.028315946348733235
20 33 98 56	0.09900990099009901 0.0037257824143070045
20 33 98 83	0.006324554132290277 0.020119225037257823
20 33 98 95	0.00974025974025974 0.039493293591654245
20 33 98 117	0.2364341085271318 0.014903129657228018
20 34	0.23417721518987342 0.08047690014903129
20 34 27	0.0055248618784530384 0.0007451564828614009
20 34 27 92	0.13970588235294118 0.020864381520119227
20 34 30	0.023809523809523808 0.014157973174366617
20 34 30 18	0.002571149924638709 0.020119225037257823
20 34 30 34	0.2236842105263158 0.07228017883755589
20 34 30 95	0.00636604774535809 0.11997019374068554
20 34 30 117	0.18761726078799248 0.05588673621460507
20 34 52	0.026881720430107527 0.010432190760059613
