1 66	1.1584196838672682e-05 0.000726480203414457
20 19 84 95	0.000939604322179882 0.00472212132219397
20 27 18 93	0.049689440993788817 0.000726480203414457
20 27 18 95	0.0002969863877431433 0.012350163458045769
20 27 27 86	0.00010234058948179542 0.0010897203051216855
20 27 27 93	0.12195121951219512 0.000726480203414457
20 27 27 95	0.0007746347196623661 0.013803123864874683
20 27 34 93	0.003808487486398259 0.0025426807119505995
20 27 77 10	0.11320754716981132 0.002179440610243371
20 27 83 86	2.3038720890216176e-05 0.001452960406828914
20 27 83 93	0.049689440993788817 0.000726480203414457
20 27 83 95	0.00029652574470730056 0.012350163458045769
20 27 85 10	0.04910141206675225 0.018162005085361425
20 27 92 93	0.12195121951219512 0.000726480203414457
20 27 92 95	0.0008005607755863437 0.013803123864874683
20 27 95	3.91823940442761e-05 0.0010897203051216855
20 27 95 10	0.03007518796992481 0.001452960406828914
20 27 95 32	0.01876172607879925 0.003632401017072285
20 30 95 95	0.009554140127388535 0.0010897203051216855
20 33 98 95	0.0042998691344176485 0.00472212132219397
20 34 30 95	0.0026795747255596854 0.010170722847802398
20 34 52 93	0.027777777777777776 0.0003632401017072285
20 34 77 10	0.04664179104477612 0.007991282237559027
20 34 93	0.01366742596810934 0.008717762440973484
20 34 93 32	0.0841300191204589 0.006538321830730113
20 34 93 33	0.3076923076923077 0.001452960406828914
20 34 99 93	0.11363636363636363 0.0010897203051216855
20 34 99 95	0.002068608860541286 0.013076643661460226
20 34 104 10	0.08737864077669903 0.006538321830730113
20 34 104 43	0.0021057557323350493 0.0032691609153650564
20 34 105 10	0.0872434017595308 0.027606247729749366
20 34 118	0.005104934770277935 0.0032691609153650564
20 34 118 10	0.045481049562682216 0.013803123864874683
20 34 118 32	0.07608695652173914 0.0025426807119505995
20 45 110 86	4.81760341700434e-05 0.001452960406828914
20 45 110 93	0.02232435981615233 0.000726480203414457
20 45 110 95	0.00020902151486865966 0.015619324373410825
20 51 116 10	0.0425531914893617 0.0003632401017072285
20 52 34 93	0.02631578947368421 0.0003632401017072285
20 56 66 10	0.3333333333333333 0.000726480203414457
20 56 121 95	0.0008103727714748784 0.001452960406828914
20 77 10 97	0.011627906976744186 0.000726480203414457
20 77 12 95	0.002003260718745664 0.01198692335633854
20 77 20 95	0.0018793565307639445 0.010170722847802398
20 77 22 71	0.00018148820326678765 0.0003632401017072285
20 77 40 93	0.007371007371007371 0.0010897203051216855
20 83 18 86	6.5621313643752255e-06 0.001452960406828914
20 83 18 93	0.00023831753647791525 0.000726480203414457
20 83 18 95	0.0002324427471675173 0.015619324373410825
20 83 27 93	0.013837147418839808 0.000726480203414457
20 83 27 95	0.00018019210685024198 0.01198692335633854
20 83 34 93	0.0031174846352542977 0.012350163458045769
20 83 34 118	0.001526991826102578 0.005811841627315656
20 83 77 10	0.06521739130434782 0.004358881220486742
20 83 83 86	5.544327114488006e-06 0.001452960406828914
20 83 83 93	0.00038002225113394105 0.000726480203414457
20 83 83 95	0.0002313899741856977 0.015619324373410825
20 83 85 10	0.03701056310062743 0.043952052306574646
20 83 86 10	0.024169611307420496 0.02615328732292045
20 83 92 95	0.0001756656473279104 0.01198692335633854
20 83 95	1.2955437613090175e-05 0.0010897203051216855
20 83 95 10	0.03225806451612903 0.008354522339266255
20 83 95 32	0.020702070207020702 0.010170722847802398
20 83 95 118	0.00011799410029498526 0.0003632401017072285
20 83 105 10	0.04854368932038835 0.008354522339266255
20 85 1 95	0.0016674606955693187 0.0025426807119505995
20 85 6 71	9.803602607064233e-05 0.011260443152924083
20 85 10	0.167903852951573 0.08281874318924809
20 85 10 32	0.09888059701492537 0.00980748274609517
20 85 10 97	0.00983667409057164 0.01961496549219034
20 85 12 93	0.010348619106138025 0.013076643661460226
20 85 12 95	0.0012340096836790445 0.010170722847802398
20 85 12 118	0.0023277139028003106 0.00472212132219397
20 85 20 86	9.746972749586215e-05 0.0010897203051216855
20 85 20 93	0.3570934256055363 0.0010897203051216855
20 85 20 95	0.0016264901882868006 0.015619324373410825
20 85 22 71	0.00018181066898062062 0.0003632401017072285
20 85 23 10	0.06962025316455696 0.0032691609153650564
20 85 37 71	0.0001261690349645938 0.0025426807119505995
20 85 39 86	8.424422400539163e-05 0.0010897203051216855
20 85 39 93	0.015967569393615225 0.01670904467853251
20 85 39 95	0.0008429009012979572 0.01198692335633854
20 85 39 118	0.0020431791868146835 0.006901561932437341
20 85 40 93	0.01591035316410206 0.017798764983654194
20 85 40 95	0.0020934809004759178 0.010897203051216855
20 85 40 118	0.001957047947674718 0.006175081729022884
20 85 43	0.0003943217665615142 0.0025426807119505995
20 85 45 10	0.11764705882352941 0.002905920813657828
20 85 57 93	0.011885895404120444 0.007991282237559027
20 85 57 95	0.00376984126984127 0.006901561932437341
20 85 57 118	0.006394884092725819 0.004358881220486742
20 85 79	0.009615384615384616 0.0010897203051216855
20 85 79 32	0.029411764705882353 0.0003632401017072285
20 85 88 10	0.07142857142857142 0.003632401017072285
20 85 97	0.1 0.0003632401017072285
20 85 109 10	0.09333333333333334 0.005085361423901199
20 86	0.00018052713924660008 0.0010897203051216855
20 86 2 10	0.06364209199747953 0.01634580457682528
20 86 6 71	7.3810016462094005e-06 0.005811841627315656
20 86 10	0.13306451612903225 0.00980748274609517
20 86 10 33	0.27906976744186046 0.001452960406828914
20 86 10 97	0.007867820613690008 0.003632401017072285
20 86 21 86	0.0001094114799336215 0.001452960406828914
20 86 21 93	0.1297709923664122 0.0010897203051216855
20 86 21 95	0.0013018647019258011 0.014166363966581911
20 86 30 93	0.05555555555555555 0.000726480203414457
20 86 30 95	0.00251866014633967 0.00980748274609517
20 86 53 93	0.03692674210839786 0.005811841627315656
20 86 61 86	0.0001650575736536673 0.0010897203051216855
20 86 61 93	0.006641168289290682 0.010533962949509626
20 86 61 95	0.0008328197611472925 0.012350163458045769
20 86 61 118	0.004459878119361318 0.005448601525608427
20 86 98 10	0.16666666666666666 0.0003632401017072285
20 86 110 10	0.32075471698113206 0.003632401017072285
20 92 18 86	2.3376297019229925e-05 0.001452960406828914
20 92 18 93	0.041237113402061855 0.000726480203414457
20 92 18 95	0.00031952919519180096 0.012350163458045769
20 92 27 93	0.11940298507462686 0.000726480203414457
20 92 27 95	0.0007937028533945556 0.015256084271703597
20 92 34 118	0.0029239766081871343 0.0018162005085361425
20 92 77 10	0.11764705882352941 0.002179440610243371
20 92 83 93	0.041237113402061855 0.000726480203414457
20 92 83 95	0.00031832872667321535 0.012350163458045769
20 92 85 10	0.04896 0.017798764983654194
20 92 86 10	0.020989505247376312 0.00472212132219397
20 92 92 93	0.12698412698412698 0.000726480203414457
20 92 92 95	0.0008377908100792679 0.013803123864874683
20 92 95	4.024306813151435e-05 0.0010897203051216855
20 93	0.2857142857142857 0.000726480203414457
20 93 28 93	0.2857142857142857 0.000726480203414457
20 93 28 95	0.009900990099009901 0.000726480203414457
20 95	0.002975542492198273 0.014892844169996368
20 95 6 71	0.000243923261741856 0.007628042135851798
20 95 21 86	7.76297063009445e-05 0.0010897203051216855
20 95 21 95	0.002586858006042296 0.00980748274609517
20 95 28 93	0.02185294787161393 0.00726480203414457
20 95 30 86	0.0001691834341876441 0.0010897203051216855
20 95 30 93	0.1837270341207349 0.000726480203414457
20 95 30 95	0.000326358433623618 0.014892844169996368
20 95 32	0.028089887640449437 0.003632401017072285
20 95 32 97	0.011497326203208556 0.015619324373410825
20 95 33	0.0020768431983385254 0.001452960406828914
20 95 52 93	0.019116397621070518 0.0018162005085361425
20 95 52 95	0.0028539863745166635 0.006175081729022884
20 95 53 93	0.018633540372670808 0.005085361423901199
20 95 75 10	0.12415232133541992 0.02651652742462768
20 95 77 10	0.10185185185185185 0.0032691609153650564
20 95 85 79	0.3333333333333333 0.0003632401017072285
20 95 93	0.024489795918367346 0.006175081729022884
20 95 97	0.016129032258064516 0.0010897203051216855
20 95 99 93	0.45454545454545453 0.0010897203051216855
20 95 99 95	0.0027573529411764708 0.010170722847802398
20 95 104 10	0.10650887573964497 0.005085361423901199
20 95 104 79	0.05 0.0003632401017072285
20 95 105 10	0.14788732394366197 0.02869596803487105
20 95 105 79	0.09523809523809523 0.0010897203051216855
20 95 118 10	0.1001788908765653 0.006901561932437341
20 98 30 95	0.002580947911778508 0.003995641118779513
20 104 20 95	0.001202683884035954 0.01198692335633854
20 104 39 95	0.002910583070903712 0.013439883763167454
20 105 10	0.25 0.0025426807119505995
20 105 20 95	0.00142593131138775 0.010533962949509626
20 105 40 93	0.0625 0.000726480203414457
20 105 40 95	0.0025952960259529602 0.01452960406828914
20 108 43 95	0.006160164271047228 0.002179440610243371
20 117 30 95	0.002229089619534931 0.006175081729022884
20 117 34 93	0.017543859649122806 0.000726480203414457
20 117 77 10	0.1 0.001452960406828914
20 117 93	0.0234375 0.002179440610243371
20 117 99 95	0.006743088334457181 0.003632401017072285
20 117 104 10	0.11764705882352941 0.000726480203414457
20 117 105 10	0.20496894409937888 0.008354522339266255
20 118 10	0.14814814814814814 0.001452960406828914
20 118 53 95	0.004017531044558071 0.00472212132219397
20 118 110 10	0.3333333333333333 0.0025426807119505995
20 121 99 95	0.014285714285714285 0.000726480203414457
20 122 20 95	0.0028337061894108872 0.006901561932437341
20 122 57 95	0.003847353644587709 0.00944424264438794
20 126 2 10	0.061224489795918366 0.004358881220486742
20 126 21 86	0.0001592356687898089 0.0010897203051216855
20 126 21 95	0.0013992612329582312 0.012713403559752997
20 126 61 86	0.0002538367075320898 0.0010897203051216855
20 126 61 93	0.00811503416856492 0.006901561932437341
20 126 61 95	0.0017676028036428283 0.01452960406828914
20 126 61 118	0.0024271844660194173 0.003632401017072285
21 15 80 93	0.08445945945945946 0.005085361423901199
21 15 80 95	0.00403868636411946 0.006175081729022884
21 15 100 10	0.052545155993431854 0.006175081729022884
21 18 18 95	0.0004898347159250324 0.007628042135851798
21 18 27 95	0.00016522797430503503 0.003632401017072285
21 18 34 93	0.005124701059104886 0.005448601525608427
21 18 34 118	0.001400070003500175 0.001452960406828914
21 18 77 10	0.07142857142857142 0.000726480203414457
21 18 83 93	0.001472792364060678 0.0003632401017072285
21 18 83 95	0.000421871136044783 0.007628042135851798
21 18 85 10	0.026331998768093626 0.008717762440973484
21 18 86 10	0.02460697197539303 0.008354522339266255
21 18 92 95	0.00016134554312451546 0.003632401017072285
21 18 95	2.2301516503122213e-05 0.0003632401017072285
21 18 95 10	0.027777777777777776 0.001452960406828914
21 18 95 32	0.013630731102850062 0.0018162005085361425
21 18 95 118	0.0005675368898978433 0.0003632401017072285
21 27 18 95	0.0004729990321712111 0.003632401017072285
21 27 27 95	0.002895631373536447 0.00726480203414457
21 27 34 93	0.0016181229773462784 0.0003632401017072285
21 27 34 118	0.003676470588235294 0.000726480203414457
21 27 83 95	0.0004735124424500262 0.003632401017072285
21 27 85 10	0.020527859237536656 0.002179440610243371
21 27 86 10	0.03802281368821293 0.0032691609153650564
21 27 92 95	0.0028636884306987398 0.00726480203414457
21 27 95	0.00014374011786689664 0.0003632401017072285
21 27 95 32	0.006944444444444444 0.0003632401017072285
21 27 95 118	0.0021321961620469083 0.0003632401017072285
21 30 34 93	0.02564102564102564 0.0010897203051216855
21 30 95 93	0.027888446215139442 0.001452960406828914
21 30 95 95	0.016129032258064516 0.000726480203414457
21 34 93	0.05460750853242321 0.005811841627315656
21 34 93 32	0.07228915662650602 0.0003632401017072285
21 34 93 33	0.4375 0.0025426807119505995
21 34 99 95	0.006870229007633588 0.006175081729022884
21 34 105 10	0.11282051282051282 0.006538321830730113
21 34 118	0.0025 0.0003632401017072285
21 34 118 10	0.17346938775510204 0.01452960406828914
21 34 118 32	0.06666666666666667 0.0003632401017072285
21 45 110 95	0.0003287525114452693 0.007628042135851798
21 52 34 93	0.02631578947368421 0.0010897203051216855
21 52 95 93	0.023809523809523808 0.0010897203051216855
21 77 12 93	0.03870967741935484 0.001452960406828914
21 77 12 95	0.006165639060156641 0.003995641118779513
21 77 39 93	0.023622047244094488 0.0010897203051216855
21 77 40 93	0.020689655172413793 0.0010897203051216855
21 83 18 93	0.0010880038163566786 0.0003632401017072285
21 83 18 95	0.0006242495108931586 0.007628042135851798
21 83 27 95	0.00018487317280179496 0.003632401017072285
21 83 34 93	0.005108991825613079 0.005448601525608427
21 83 34 118	0.001397624039133473 0.001452960406828914
21 83 83 93	0.0013528981393366808 0.0003632401017072285
21 83 83 95	0.0006386227888644852 0.007628042135851798
21 83 85 10	0.026331998768093626 0.008717762440973484
21 83 86 10	0.02460697197539303 0.008354522339266255
21 83 92 95	0.00018088312072715016 0.003632401017072285
21 83 95	2.2291076881924167e-05 0.0003632401017072285
21 83 95 10	0.027777777777777776 0.001452960406828914
21 83 95 32	0.013630731102850062 0.0018162005085361425
21 83 95 118	0.0005659309564233164 0.0003632401017072285
21 83 105 10	0.021505376344086023 0.000726480203414457
21 85 6 71	0.00016423299514409606 0.003995641118779513
21 85 10	0.15865384615384615 0.00980748274609517
21 85 10 32	0.050505050505050504 0.0018162005085361425
21 85 10 97	0.009013785790031814 0.002905920813657828
21 85 10 98	0.13043478260869565 0.0010897203051216855
21 85 12 93	0.032372400756143664 0.009081002542680712
21 85 12 95	0.0045338064261778045 0.003632401017072285
21 85 12 118	0.000837696335078534 0.000726480203414457
21 85 20 93	0.4233937397034596 0.0003632401017072285
21 85 20 95	0.007148533674073612 0.007628042135851798
21 85 39 93	0.044887140902872776 0.007991282237559027
21 85 39 95	0.004436434215998891 0.005811841627315656
21 85 40 93	0.05206597069918414 0.008354522339266255
21 85 40 95	0.007436918990703851 0.006175081729022884
21 85 40 118	0.000609979260705136 0.0010897203051216855
21 85 45 10	0.21428571428571427 0.008354522339266255
21 86 2 10	0.030927835051546393 0.0010897203051216855
21 86 6 71	3.562427081570674e-05 0.004358881220486742
21 86 10	0.30638297872340425 0.02615328732292045
21 86 10 32	0.028985507246376812 0.0018162005085361425
21 86 10 33	0.40384615384615385 0.0025426807119505995
21 86 10 97	0.004777070063694267 0.002179440610243371
21 86 10 98	0.1693548387096774 0.0010897203051216855
21 86 21 95	0.0027591643673630273 0.007628042135851798
21 86 30 93	0.3333333333333333 0.0003632401017072285
21 86 53 93	0.1111111111111111 0.006175081729022884
21 86 53 95	0.013888888888888888 0.003632401017072285
21 86 61 95	0.0013152847043349592 0.006538321830730113
21 86 61 118	0.00047505938242280285 0.0003632401017072285
21 86 110 10	0.26993865030674846 0.00472212132219397
21 92 18 95	0.0005163824139059602 0.003632401017072285
21 92 27 95	0.0026960860268369024 0.007628042135851798
21 92 34 93	0.0016181229773462784 0.0003632401017072285
21 92 34 118	0.003676470588235294 0.000726480203414457
21 92 83 95	0.0005158459146456647 0.003632401017072285
21 92 85 10	0.020086083213773313 0.002179440610243371
21 92 86 10	0.03802281368821293 0.0032691609153650564
21 92 92 95	0.00308971620384498 0.00726480203414457
21 92 95	0.00013962580284836637 0.0003632401017072285
21 92 95 10	0.02531645569620253 0.000726480203414457
21 92 95 32	0.006944444444444444 0.0003632401017072285
21 92 95 118	0.001890359168241966 0.0003632401017072285
21 93	0.2 0.0003632401017072285
21 93 32	0.3333333333333333 0.0003632401017072285
21 95	0.013315579227696404 0.00726480203414457
21 95 10	0.3181818181818182 0.002179440610243371
21 95 21 95	0.00762029174831265 0.002179440610243371
21 95 27 93	0.08677685950413223 0.003995641118779513
21 95 28 93	0.04191343963553531 0.006175081729022884
21 95 28 118	0.0008865248226950354 0.000726480203414457
21 95 30 93	0.4069767441860465 0.0003632401017072285
21 95 30 95	0.005606805914806453 0.00726480203414457
21 95 32	0.03125 0.000726480203414457
21 95 32 97	0.012444444444444444 0.005085361423901199
21 95 33	0.021806853582554516 0.0025426807119505995
21 95 53 93	0.047748976807639835 0.005085361423901199
21 95 53 95	0.0037593984962406013 0.0003632401017072285
21 95 75 10	0.27692307692307694 0.011623683254631312
21 95 77 10	0.125 0.0003632401017072285
21 95 92 93	0.08333333333333333 0.003632401017072285
21 95 93	0.07142857142857142 0.00472212132219397
21 95 97	0.02702702702702703 0.0003632401017072285
21 95 97 32	0.18421052631578946 0.0025426807119505995
21 95 98	0.13636363636363635 0.0010897203051216855
21 95 98 33	0.3181818181818182 0.0025426807119505995
21 95 99 95	0.011673151750972763 0.006175081729022884
21 95 104 10	0.08 0.000726480203414457
21 95 105 10	0.21830985915492956 0.007991282237559027
21 95 118	0.0029411764705882353 0.0003632401017072285
21 95 118 10	0.2877906976744186 0.014166363966581911
21 104 20 95	0.0050520997789706345 0.005811841627315656
21 104 39 95	0.01068062827225131 0.006175081729022884
21 104 40 93	0.10869565217391304 0.003632401017072285
21 105 10	0.2916666666666667 0.0025426807119505995
21 105 20 95	0.0047804532577903685 0.005811841627315656
21 105 39 93	0.011764705882352941 0.0010897203051216855
21 105 39 95	0.002544529262086514 0.0003632401017072285
21 105 40 95	0.009985475671750182 0.00726480203414457
21 117 93	0.03278688524590164 0.002179440610243371
21 117 93 32	0.11764705882352941 0.0003632401017072285
21 117 105 10	0.10909090909090909 0.002905920813657828
21 117 118 10	0.12179487179487179 0.003995641118779513
21 118 10	0.2777777777777778 0.00472212132219397
21 118 10 32	0.14285714285714285 0.0003632401017072285
21 118 10 33	0.4375 0.0025426807119505995
21 118 30 95	0.006535947712418301 0.0003632401017072285
21 118 53 95	0.014075067024128687 0.003995641118779513
21 118 110 10	0.37142857142857144 0.00472212132219397
21 122 39 93	0.025210084033613446 0.0010897203051216855
21 126 21 95	0.0019491820396797773 0.006901561932437341
21 126 61 93	0.02019473494410386 0.002179440610243371
21 126 61 95	0.0031633616619452312 0.007628042135851798
21 126 61 118	0.00026476039184537993 0.0003632401017072285
22 71 6 71	0.00021530224847314823 0.0003632401017072285
22 71 10	0.12121212121212122 0.001452960406828914
22 71 10 97	0.010471204188481676 0.000726480203414457
22 71 20 95	0.0006228912535686478 0.0003632401017072285
22 71 22 71	0.002171552660152009 0.0003632401017072285
22 71 39 118	0.004801920768307323 0.0003632401017072285
22 87 6 71	0.00037111259556149334 0.000726480203414457
22 87 10	0.4716981132075472 0.008354522339266255
22 87 12 93	0.015748031496062992 0.000726480203414457
22 87 40 93	0.0041841004184100415 0.0003632401017072285
22 102 6 71	0.0014347202295552368 0.0003632401017072285
22 116 10	0.08602150537634409 0.0018162005085361425
22 116 12 93	0.004884004884004884 0.000726480203414457
22 116 39 93	0.0049382716049382715 0.0003632401017072285
22 116 40 93	0.0038314176245210726 0.000726480203414457
23 1 66 10	0.04010115606936416 0.00472212132219397
23 6 71	0.0004488330341113106 0.0018162005085361425
23 6 71 10	0.035632183908045977 0.009081002542680712
23 10	0.06666666666666667 0.000726480203414457
23 10 29 94	0.018691588785046728 0.000726480203414457
23 10 32 97	0.004228329809725159 0.000726480203414457
23 10 75 10	0.05233889434085705 0.005448601525608427
23 12 118 10	0.02 0.0003632401017072285
23 16 81 79	0.4 0.0003632401017072285
23 20 83 95	8.710042679209128e-05 0.0003632401017072285
23 20 85 10	0.07407407407407407 0.0025426807119505995
23 20 95	0.0006246096189881324 0.0003632401017072285
23 23 10	1.0 0.03160188884852888
23 23 79	1.0 0.0010897203051216855
23 35 100 10	0.060941828254847646 0.002179440610243371
23 37 102 10	0.03063063063063063 0.001452960406828914
23 40 104 43	0.009900990099009901 0.000726480203414457
23 40 105 10	0.06103286384976526 0.002905920813657828
23 40 118 10	0.06837606837606838 0.001452960406828914
23 41 106 10	0.03746684350132626 0.004358881220486742
23 46 111 10	0.03495034377387318 0.02905920813657828
23 46 111 79	0.009384775808133473 0.0032691609153650564
23 50 10	1.0 0.0010897203051216855
23 58 123 10	0.6428571428571429 0.0032691609153650564
23 79	0.3333333333333333 0.0003632401017072285
23 79 75 10	0.4878048780487805 0.0003632401017072285
23 88 10	0.9797979797979798 0.03523428986560116
23 88 79	1.0 0.0018162005085361425
23 88 121	1.0 0.0003632401017072285
23 115 10	0.75 0.0010897203051216855
23 121	1.0 0.0003632401017072285
23 121 75 10	0.5128205128205128 0.0003632401017072285
24 89 6 71	0.00016848076634680008 0.004358881220486742
24 89 10	0.11266783420899007 0.03087540864511442
24 89 10 97	0.005422993492407809 0.0018162005085361425
24 89 12 118	0.0024640657084188913 0.0010897203051216855
24 89 20 95	0.000769021984981453 0.000726480203414457
24 89 23 10	0.2 0.002905920813657828
24 89 33 10	0.17391304347826086 0.001452960406828914
24 89 39 93	0.002734668763246052 0.00472212132219397
24 89 40 93	0.0021213728312750968 0.005811841627315656
24 89 40 118	0.001752105352399254 0.0018162005085361425
24 89 44 10	0.21052631578947367 0.001452960406828914
24 89 45 10	0.08771929824561403 0.003632401017072285
24 89 50 10	0.07017543859649122 0.002905920813657828
24 89 58 10	0.05405405405405406 0.002179440610243371
24 89 88 10	0.2 0.002905920813657828
26 91 10	1.0 0.002179440610243371
26 91 39 93	0.02631578947368421 0.0003632401017072285
30 15 80 95	0.009307135470527405 0.0010897203051216855
30 15 100 10	0.045871559633027525 0.000726480203414457
30 18 18 95	0.0009654812562522467 0.0010897203051216855
30 18 83 95	0.0008542919109545066 0.0010897203051216855
30 18 85 10	0.03042198233562316 0.001452960406828914
30 18 86 10	0.024875621890547265 0.001452960406828914
30 18 95 32	0.017094017094017096 0.0003632401017072285
30 27 18 95	0.0006545613226987321 0.0010897203051216855
30 27 27 95	0.0038281582305401958 0.0010897203051216855
30 27 85 10	0.02631578947368421 0.000726480203414457
30 27 92 95	0.0037380589782638795 0.0010897203051216855
30 34 93	0.03508771929824561 0.000726480203414457
30 34 105 10	0.13333333333333333 0.000726480203414457
30 45 110 95	0.00036814333046999634 0.0010897203051216855
30 77 20 95	0.011968085106382979 0.0010897203051216855
30 83 18 95	0.0008703153004508727 0.0010897203051216855
30 83 83 95	0.0008664821945779056 0.0010897203051216855
30 83 85 10	0.03042198233562316 0.001452960406828914
30 83 86 10	0.024875621890547265 0.001452960406828914
30 83 95 32	0.017094017094017096 0.0003632401017072285
30 85 10	0.05660377358490566 0.000726480203414457
30 85 10 32	0.038461538461538464 0.0003632401017072285
30 85 10 97	0.009917355371900827 0.0010897203051216855
30 85 20 95	0.012277923436012986 0.0010897203051216855
30 85 39 93	0.0370706612195491 0.001452960406828914
30 85 40 93	0.03594162397143301 0.0010897203051216855
30 86 10	0.23333333333333334 0.0025426807119505995
30 86 21 95	0.008730235716364342 0.0010897203051216855
30 86 30 95	0.012958963282937365 0.0010897203051216855
30 92 27 95	0.004224360478760855 0.0010897203051216855
30 92 85 10	0.02631578947368421 0.000726480203414457
30 92 92 95	0.0038787023977433005 0.0010897203051216855
30 95	0.010309278350515464 0.0010897203051216855
30 95 10	0.5555555555555556 0.002905920813657828
30 95 21 95	0.011363636363636364 0.0010897203051216855
30 95 28 93	0.036170212765957444 0.000726480203414457
30 95 30 95	0.011657180385288967 0.0010897203051216855
30 95 52 95	0.014005602240896359 0.0010897203051216855
30 95 53 93	0.0380952380952381 0.000726480203414457
30 95 93	0.02702702702702703 0.000726480203414457
30 117 93	0.0392156862745098 0.000726480203414457
30 126 21 95	0.002145922746781116 0.0010897203051216855
33 6 71 10	0.06944444444444445 0.005448601525608427
33 10	0.5 0.0018162005085361425
33 10 28 93	0.02564102564102564 0.0010897203051216855
33 10 29 94	0.05263157894736842 0.000726480203414457
33 10 75 10	0.49744463373083475 0.005448601525608427
33 21 85 10	0.14285714285714285 0.0003632401017072285
33 53 77 10	1.0 0.002905920813657828
33 53 93	0.03125 0.0003632401017072285
33 53 93 98	0.5 0.0003632401017072285
33 53 105 10	0.25 0.003632401017072285
33 53 118 10	0.09302325581395349 0.0010897203051216855
33 98 6 71	0.0010567333729608348 0.001452960406828914
33 98 10	0.7 0.014892844169996368
33 98 10 33	0.5 0.0003632401017072285
33 98 10 98	0.25 0.0003632401017072285
33 98 33 10	0.35714285714285715 0.0018162005085361425
33 98 73 10	0.75 0.001452960406828914
33 98 110 10	0.5 0.0003632401017072285
33 110 10	0.42857142857142855 0.000726480203414457
33 110 45 10	1.0 0.000726480203414457
35 80 18 95	0.0003386750564653068 0.00726480203414457
35 80 27 86	8.507597284374947e-05 0.001452960406828914
35 80 27 95	0.00014517376619311288 0.005085361423901199
35 80 30 93	0.012903225806451613 0.0003632401017072285
35 80 30 95	4.268855274153385e-06 0.00726480203414457
35 80 34 93	0.008992805755395683 0.0032691609153650564
35 80 77 10	0.12650602409638553 0.00726480203414457
35 80 83 86	4.692494940903892e-05 0.001452960406828914
35 80 83 95	0.0003265328970231862 0.00726480203414457
35 80 85 10	0.09844836811128946 0.029422448238285506
35 80 85 79	0.012048192771084338 0.0018162005085361425
35 80 86	0.0002797463632972771 0.0010897203051216855
35 80 86 10	0.06165703275529865 0.009081002542680712
35 80 92 86	8.218502588828315e-05 0.001452960406828914
35 80 92 95	0.00014428099011386657 0.005085361423901199
35 80 93	0.014319809069212411 0.002179440610243371
35 80 95	0.00021697322353173235 0.007628042135851798
35 80 95 10	0.060240963855421686 0.001452960406828914
35 80 95 32	0.018617021276595744 0.0025426807119505995
35 80 95 33	7.661661048115231e-05 0.0003632401017072285
35 80 95 93	0.009529309846953509 0.00472212132219397
35 80 95 97	0.018867924528301886 0.0010897203051216855
35 80 99 95	0.00021050415745710977 0.004358881220486742
35 80 104 10	0.08421052631578947 0.002905920813657828
35 80 105 10	0.11516314779270634 0.017435524881946968
35 80 116 10	0.02127659574468085 0.0003632401017072285
35 80 117 93	0.01524390243902439 0.0025426807119505995
35 80 118 10	0.07931034482758621 0.005448601525608427
35 100 6 71	7.216911425511991e-05 0.007991282237559027
35 100 8 10	0.13953488372093023 0.002179440610243371
35 100 10	0.10070171119044688 0.08790410461314929
35 100 10 14	0.0029895366218236174 0.0003632401017072285
35 100 10 32	0.09422572178477691 0.022157646204140936
35 100 10 33	0.03827751196172249 0.002905920813657828
35 100 10 79	0.0025252525252525255 0.000726480203414457
35 100 10 97	0.011140298129569263 0.02687976752633491
35 100 12 93	0.007212417323096354 0.021067925899019253
35 100 12 95	0.0008017848427804504 0.00472212132219397
35 100 12 118	0.002459880520089024 0.006538321830730113
35 100 20 86	0.00026839651963974655 0.001452960406828914
35 100 20 93	0.025610980917308335 0.000726480203414457
35 100 20 95	0.00022815335955080003 0.00980748274609517
35 100 23 10	0.06432748538011696 0.007991282237559027
35 100 33 10	0.06477732793522267 0.005448601525608427
35 100 37 94	0.007202881152460984 0.006538321830730113
35 100 39 93	0.007223123421537398 0.023247366509262624
35 100 39 95	0.0006760634241826315 0.006538321830730113
35 100 39 118	0.0017967506954291094 0.006901561932437341
35 100 40 93	0.008273102865931503 0.025063567017798764
35 100 40 95	0.0009120521172638436 0.0025426807119505995
35 100 40 118	0.0013476041153756447 0.006175081729022884
35 100 43 95	0.001589319771137953 0.0018162005085361425
35 100 44 10	0.07446808510638298 0.00472212132219397
35 100 45 10	0.08230044620723848 0.027606247729749366
35 100 50 10	0.22807017543859648 0.00472212132219397
35 100 57 93	0.010094212651413189 0.010170722847802398
35 100 57 118	0.004093327875562832 0.0032691609153650564
35 100 58 10	0.031545741324921134 0.003632401017072285
35 100 73 10	0.13953488372093023 0.002179440610243371
35 100 79	0.010548523206751054 0.0018162005085361425
35 100 88 10	0.06432748538011696 0.007991282237559027
35 100 97	0.1111111111111111 0.0003632401017072285
35 100 115 10	0.22807017543859648 0.00472212132219397
35 100 123 10	0.1 0.002179440610243371
35 103 2 10	0.06372549019607843 0.00472212132219397
35 103 10	0.057971014492753624 0.005085361423901199
35 103 10 97	0.11764705882352941 0.004358881220486742
35 103 21 86	0.0002243270189431705 0.0010897203051216855
35 103 21 95	0.0012407414370041734 0.007628042135851798
35 103 28 93	0.009041591320072333 0.005085361423901199
35 103 28 118	0.0024642681123706258 0.0018162005085361425
35 103 30 86	0.0004058990664321472 0.0010897203051216855
