2 1 66	5.1668905652578275e-05 0.0010438413361169101
21 18 105 12	0.0027472527472527475 0.008350730688935281
21 18 105 20	0.09481370127778374 0.4968684759916493
21 18 105 39	0.004844132900210863 0.049060542797494784
21 18 105 40	0.04525652936925777 0.33298538622129437
21 18 108 43	0.02356020942408377 0.014613778705636743
21 18 110 18	0.0636007376671277 0.04592901878914405
21 18 110 83	0.06235974158449507 0.04592901878914405
21 18 117 52	0.0421481634337598 0.15553235908141963
21 18 118 53	0.08317131129833658 0.12943632567849686
21 18 122 20	0.06050523721503389 0.3747390396659708
21 18 126 21	0.24249118877094913 0.7933194154488518
21 18 126 61	0.052964613059606286 0.7223382045929019
21 19 84	0.04208606363574951 0.6743215031315241
21 19 84 18	0.05048251811937143 0.7254697286012526
21 19 84 27	0.02446043165467626 0.6837160751565762
21 19 84 30	0.07052910637357782 0.3663883089770355
21 19 84 33	0.021214302855771538 0.35177453027139877
21 19 84 52	0.4618599791013584 0.35177453027139877
21 19 84 83	0.04940954126986821 0.7254697286012526
21 19 84 92	0.01858312347418925 0.6837160751565762
21 19 121 18	0.04760233918128655 0.6231732776617954
21 19 121 83	0.04606677985285795 0.6231732776617954
21 19 126 21	0.5699088145896657 0.36012526096033404
21 27	0.05212320029159832 0.2651356993736952
21 27 15 80	0.0014806679864553078 0.3559498956158664
21 27 18	0.05098527267162379 0.8517745302713987
21 27 18 18	0.05067705219722817 0.8799582463465553
21 27 18 27	0.04372898137557828 0.837160751565762
21 27 18 83	0.05128798521859995 0.8799582463465553
21 27 18 92	0.043227531103550966 0.837160751565762
21 27 19 84	0.02758452337361162 0.6534446764091858
21 27 27	0.25885433251954854 0.9102296450939458
21 27 27 18	0.07294946249013214 0.8653444676409185
21 27 27 27	0.15271610452776538 0.8162839248434238
21 27 27 30	0.17321688500727803 0.35281837160751567
21 27 27 52	0.15233204963628583 0.35177453027139877
21 27 27 83	0.07375487395327014 0.8653444676409185
21 27 27 92	0.14362602340787956 0.8235908141962421
21 27 30 18	0.011498257839721254 0.026096033402922755
21 27 30 83	0.011474269819193325 0.026096033402922755
21 27 33 98	0.05371580462952708 0.09916492693110647
21 27 34 30	0.03179890975166566 0.174321503131524
21 27 34 99	0.058762260220466975 0.2661795407098121
21 27 45 110	0.02518212714194106 0.8851774530271399
21 27 52 18	0.03636363636363636 0.012526096033402923
21 27 77 12	0.14413168577418922 0.5187891440501043
21 27 77 20	0.26988840892728583 0.39979123173277664
21 27 83	0.050712848731955 0.8538622129436325
21 27 83 18	0.049779084309011026 0.8799582463465553
21 27 83 27	0.042766573145364084 0.837160751565762
21 27 83 83	0.05010071790400373 0.8799582463465553
21 27 83 92	0.04479788632839255 0.837160751565762
21 27 85 20	0.19987310613685932 0.8569937369519833
21 27 85 39	0.0039056837078412145 0.615866388308977
21 27 85 40	0.002948538725908281 0.3914405010438413
21 27 86 21	0.43668489560363405 0.7588726513569938
21 27 86 30	0.2738509749303621 0.3068893528183716
21 27 86 61	0.13480646221525547 0.6315240083507306
21 27 92	0.24062772449869224 0.9102296450939458
21 27 92 18	0.07551150707315658 0.8695198329853863
21 27 92 27	0.13649154305296005 0.8340292275574113
21 27 92 30	0.171387421987518 0.35281837160751567
21 27 92 83	0.0741601619720855 0.8695198329853863
21 27 92 92	0.1241512419471227 0.8235908141962421
21 27 95 18	0.5 0.031315240083507306
21 27 95 21	0.35031261493196025 0.5271398747390397
21 27 95 30	0.07140489718614719 0.8131524008350731
21 27 95 33	0.001206622392666729 0.12317327766179541
21 27 104 20	0.2941322725012432 0.48329853862212946
21 27 104 39	0.16009928637914986 0.24739039665970772
21 27 105 20	0.2961595273264402 0.3945720250521921
21 27 105 40	0.16912235746316465 0.2620041753653445
21 27 108 43	0.2342857142857143 0.011482254697286013
21 27 117 30	0.22329317269076304 0.1617954070981211
21 27 126 21	0.4848322920092075 0.6450939457202505
21 27 126 61	0.1502769454281304 0.6471816283924844
21 30	0.02631578947368421 0.0010438413361169101
21 30 34 52	0.3333333333333333 0.0041753653444676405
21 30 34 99	0.15 0.013569937369519834
21 30 77 12	0.25 0.0010438413361169101
21 30 85 12	0.26851851851851855 0.005219206680584551
21 30 85 20	0.18520642201834864 0.005219206680584551
21 30 85 40	0.011992619926199263 0.005219206680584551
21 30 85 57	0.019801980198019802 0.0041753653444676405
21 30 86 21	0.375 0.005219206680584551
21 30 95	0.12179487179487179 0.03549060542797495
21 30 95 30	0.0967741935483871 0.032359081419624215
21 30 95 52	0.06918238993710692 0.006263048016701462
21 30 95 92	0.06565656565656566 0.012526096033402923
21 30 95 99	0.15384615384615385 0.005219206680584551
21 30 117	0.373134328358209 0.026096033402922755
21 33 98	0.1871609403254973 0.1304801670146138
21 33 98 18	0.03880514338499694 0.12526096033402923
21 33 98 27	0.10079011345218801 0.10125260960334029
21 33 98 83	0.03846658911243664 0.12526096033402923
21 33 98 92	0.10058633238980995 0.10125260960334029
21 34 15 80	0.006879460745440127 0.33194154488517746
21 34 27 30	0.9302325581395349 0.06680584551148225
21 34 30	0.16186928547240095 0.48956158663883087
21 34 30 18	0.020473470511320625 0.4342379958246347
21 34 30 27	0.02914353687549564 0.14613778705636743
21 34 30 95	0.00013988948730502904 0.0041753653444676405
21 34 30 117	0.0028620492272467086 0.0041753653444676405
21 34 52	0.04178674351585014 0.08977035490605428
21 34 56	1.0 0.008350730688935281
21 34 77 20	0.26694337047987265 0.8434237995824635
21 34 93 21	0.9156976744186046 0.3048016701461378
21 34 93 30	0.6890688259109312 0.45407098121085593
21 34 99	0.34199602959754555 0.906054279749478
21 34 99 18	0.017363308147541594 0.5553235908141962
21 34 99 83	0.016972276795459505 0.5553235908141962
21 34 99 92	0.036801283765712754 0.267223382045929
21 34 99 95	7.281612310779214e-05 0.012526096033402923
21 34 99 117	0.0006272738677706687 0.0041753653444676405
21 34 104 20	0.2907688214950785 0.9091858037578288
21 34 104 40	0.0010431728981615369 0.10438413361169102
21 34 104 57	0.006228499947878661 0.24843423799582465
21 34 105 12	0.013091822094691535 0.14926931106471816
21 34 105 20	0.4216905146901791 0.9018789144050104
21 34 105 57	0.01281010897287271 0.23068893528183715
21 34 108 20	0.5652173913043478 0.0407098121085595
21 34 117 30	0.9247695509961344 0.35386221294363257
21 34 118 21	0.3596997690531178 0.19102296450939457
21 34 118 30	0.4946808510638298 0.3935281837160752
21 34 122 20	0.08400509121764956 0.3987473903966597
21 34 126 21	0.6629526462395543 0.744258872651357
21 34 126 61	0.007685965427130061 0.1409185803757829
21 45 83 18	0.02631578947368421 0.015657620041753653
21 45 83 83	0.02666666666666667 0.015657620041753653
21 45 92 92	0.3680555555555556 0.055323590814196244
21 45 108 12	0.0651541593949971 0.40396659707724425
21 45 108 20	0.07403779881742663 0.6941544885177453
21 45 110	0.03525807561760677 0.9530271398747391
21 45 110 18	0.03710392788468554 0.9478079331941545
21 45 110 27	0.041297369391715265 0.8684759916492694
21 45 110 83	0.036451740006777734 0.9478079331941545
21 45 110 92	0.04081485670029465 0.8684759916492694
21 45 110 117	0.00031650153154554674 0.021920668058455117
21 51 116	0.16666666666666666 0.009394572025052192
21 52	0.02040816326530612 0.0010438413361169101
21 52 34 52	0.3333333333333333 0.0041753653444676405
21 52 34 99	0.20833333333333334 0.005219206680584551
21 52 85 12	0.2717391304347826 0.005219206680584551
21 52 85 20	0.2114264919941776 0.007306889352818371
21 52 85 39	0.013259668508287293 0.0041753653444676405
21 52 85 40	0.013555787278415016 0.005219206680584551
21 52 86 21	0.375 0.005219206680584551
21 52 95	0.18248175182481752 0.026096033402922755
21 52 95 30	0.12867647058823528 0.022964509394572025
21 52 105 20	0.25 0.0010438413361169101
21 52 117	0.4152542372881356 0.029227557411273485
21 56 30	1.0 0.003131524008350731
21 56 66	0.018842530282637954 0.014613778705636743
21 56 66 20	0.37359098228663445 0.014613778705636743
21 56 77 20	0.30357142857142855 0.017745302713987474
21 56 84	0.017857142857142856 0.008350730688935281
21 56 99	0.75 0.003131524008350731
21 56 117 30	0.9535864978902954 0.017745302713987474
21 56 121	1.0 0.06889352818371608
21 66 1	1.0 0.3924843423799583
21 66 20	0.9492957746478873 0.35177453027139877
21 66 35 80	0.0034325503849360075 0.14613778705636743
21 77 12	0.6230562566148335 0.8475991649269311
21 77 12 18	0.03183743114820438 0.6064718162839249
21 77 12 27	0.1130879345603272 0.5198329853862212
21 77 12 83	0.03119688233229024 0.6064718162839249
21 77 12 92	0.09642657862921976 0.5198329853862212
21 77 12 99	0.013100436681222707 0.037578288100208766
21 77 20	0.5371262037506336 0.5918580375782881
21 77 20 18	0.044668408260816826 0.8006263048016702
21 77 20 27	0.04238107008831262 0.4102296450939457
21 77 20 83	0.044395093617427404 0.8006263048016702
21 77 20 92	0.03962684371979661 0.4102296450939457
21 77 20 95	4.56882141737444e-05 0.0041753653444676405
21 77 20 117	0.0014707612660312978 0.0041753653444676405
21 77 35 80	0.0007233672407032662 0.21085594989561587
21 77 39 30	0.014316012725344645 0.025052192066805846
21 77 39 52	0.19540229885057472 0.012526096033402923
21 77 39 99	0.019087136929460582 0.017745302713987474
21 77 40 18	0.171875 0.011482254697286013
21 77 40 52	0.019672131147540985 0.012526096033402923
21 77 40 83	0.171875 0.011482254697286013
21 77 40 99	0.04447151995126409 0.14718162839248433
21 77 43 21	1.0 0.35177453027139877
21 77 43 30	1.0 0.35177453027139877
21 77 44 20	0.3972044263249854 0.35908141962421714
21 77 67 21	0.3728813559322034 0.022964509394572025
21 77 67 61	0.1641025641025641 0.029227557411273485
21 77 73 20	0.9882697947214076 0.35177453027139877
21 77 120 21	1.0 0.35177453027139877
21 83	0.012966505048707798 0.3444676409185804
21 83 1 66	0.0005206951279958745 0.11482254697286012
21 83 15 80	0.000976133105862075 0.36325678496868474
21 83 18	0.05768539762650053 0.9519832985386222
21 83 18 18	0.0570088736901605 0.9446764091858038
21 83 18 27	0.025162972769193957 0.8653444676409185
21 83 18 83	0.05388269361855574 0.9446764091858038
21 83 18 92	0.02637348474616519 0.8653444676409185
21 83 19 84	0.021682208119086038 0.6534446764091858
21 83 19 121	0.012808072967203571 0.008350730688935281
21 83 27	0.04356707572218714 0.8402922755741128
21 83 27 18	0.05624572715093217 0.9206680584551148
21 83 27 27	0.04821496763127447 0.8653444676409185
21 83 27 52	0.14571513884741713 0.35177453027139877
21 83 27 83	0.05616972700603598 0.9206680584551148
21 83 27 92	0.04520301104281267 0.8580375782881002
21 83 27 110	0.001337238920020377 0.055323590814196244
21 83 33 98	0.008155687283301644 0.10647181628392484
21 83 34 52	0.0019886798225485698 0.014613778705636743
21 83 34 99	0.02403846153846154 0.5448851774530271
21 83 45 83	0.04014158758849224 0.03966597077244259
21 83 45 110	0.01979768609961955 0.9498956158663883
21 83 56 84	0.019519317160826596 0.5887265135699373
21 83 77 12	0.05830207978179339 0.5908141962421712
21 83 77 20	0.10832713139832961 0.5229645093945721
21 83 83	0.05863552823474309 0.9478079331941545
21 83 83 18	0.11112112897235307 0.9446764091858038
21 83 83 27	0.02689184288699723 0.8653444676409185
21 83 83 83	0.10836888034528394 0.9446764091858038
21 83 83 92	0.02921757205627687 0.8653444676409185
21 83 85 12	0.02023623478102853 0.7797494780793319
21 83 85 20	0.08962434846322509 0.9217118997912317
21 83 85 39	0.0015650971936746337 0.6899791231732777
21 83 85 40	0.0015354379068910453 0.7505219206680585
21 83 86 21	0.23823567423992584 0.9112734864300627
21 83 86 61	0.06858022355537226 0.7484342379958246
21 83 92	0.04329611578903589 0.8402922755741128
21 83 92 18	0.054941109376000836 0.9206680584551148
21 83 92 27	0.04513261124620526 0.884133611691023
21 83 92 30	0.051659583080348105 0.3747390396659708
21 83 92 52	0.14561664190193166 0.35177453027139877
21 83 92 83	0.055501232343975686 0.9206680584551148
21 83 92 92	0.04260365452113965 0.8538622129436325
21 83 95 21	0.09007730402222491 0.5553235908141962
21 83 95 27	8.386731771001686e-06 0.017745302713987474
21 83 95 30	0.051634436973459964 0.8757828810020877
21 83 95 99	0.009419195012726802 0.5375782881002088
21 83 104 20	0.09110267034990792 0.5981210855949896
21 83 105 20	0.09431025801431209 0.4968684759916493
21 83 105 39	0.004846895135998175 0.049060542797494784
21 83 108 43	0.023784355179704016 0.014613778705636743
21 83 118 30	0.043968432919954906 0.03549060542797495
21 83 118 53	0.08335137475644079 0.12943632567849686
21 83 122 20	0.06053507582295648 0.3747390396659708
21 83 126 21	0.24300827161384028 0.7933194154488518
21 83 126 61	0.05289841697461897 0.7223382045929019
21 85 1	0.009211677235950143 0.35177453027139877
21 85 1 66	0.0005106122943328917 0.12526096033402923
21 85 1 121	0.6270270270270271 0.014613778705636743
21 85 8 20	0.8589105440269209 0.8183716075156576
21 85 8 39	0.02181818181818182 0.021920668058455117
21 85 8 40	0.012877631980469942 0.022964509394572025
21 85 10 21	0.9940119760479041 0.23068893528183715
21 85 10 30	0.8995269204775851 0.697286012526096
21 85 12	0.13960611250164667 0.7056367432150313
21 85 12 18	0.0537868686124727 0.6503131524008351
21 85 12 27	0.18977053380536488 0.5020876826722338
21 85 12 30	0.17868397831841673 0.8434237995824635
21 85 12 52	0.0473064735174287 0.44154488517745305
21 85 12 83	0.0529114318279635 0.6503131524008351
21 85 12 92	0.15699135702572842 0.5020876826722338
21 85 12 99	0.141203007518797 0.8413361169102297
21 85 16 30	0.9087738697741675 0.7849686847599165
21 85 20	0.8638964813845688 0.9989561586638831
21 85 20 18	0.04136171745115234 0.9164926931106472
21 85 20 27	0.1277216806303232 0.8413361169102297
21 85 20 30	0.16456911262798635 0.3903966597077244
21 85 20 52	0.0031614126998464457 0.010438413361169102
21 85 20 83	0.04060121804729796 0.918580375782881
21 85 20 92	0.11658327974332829 0.8413361169102297
21 85 20 95	3.941063385897744e-06 0.0041753653444676405
21 85 20 117	0.0001810418914110112 0.006263048016701462
21 85 23 20	0.8271997650973867 0.8194154488517745
21 85 26 30	0.7946096654275093 0.267223382045929
21 85 35	3.812210510264377e-05 0.008350730688935281
21 85 35 80	0.00424516607918455 0.4718162839248434
21 85 39	0.008326317734748774 0.7870563674321504
21 85 39 18	0.03443016785753034 0.6210855949895616
21 85 39 27	0.014830057475342369 0.5020876826722338
21 85 39 30	0.3256399297145842 0.9008350730688935
21 85 39 52	0.059688640688859075 0.44363256784968685
21 85 39 83	0.03416216881179745 0.6210855949895616
21 85 39 92	0.015258670800232512 0.5031315240083507
21 85 39 99	0.1873500171408982 0.9050104384133612
21 85 40	0.01545588521222607 0.6534446764091858
21 85 40 18	0.060976673792161505 0.6179540709812108
21 85 40 27	0.08878192908882958 0.5093945720250522
21 85 40 30	0.3234871498776335 0.9342379958246346
21 85 40 52	0.05930866537508772 0.44363256784968685
21 85 40 83	0.05972285675783163 0.6179540709812108
21 85 40 92	0.08447029339752521 0.5093945720250522
21 85 40 99	0.1731056443204554 0.9018789144050104
21 85 43	0.00020528401042842773 0.031315240083507306
21 85 43 21	0.989264960298097 0.6252609603340292
21 85 43 30	0.9725650024529228 0.7901878914405011
21 85 43 110	0.009625723933671641 0.7505219206680585
21 85 44 20	0.33915495020503805 0.6367432150313153
21 85 45 21	1.0 0.3298538622129436
21 85 45 30	0.5219230979898122 0.7755741127348643
21 85 50 20	0.6515037188746362 0.6325678496868476
21 85 50 39	0.020038167938931296 0.021920668058455117
21 85 51 30	0.07847693957811941 0.06367432150313153
21 85 53 30	0.07738998482549317 0.029227557411273485
21 85 53 99	0.21232876712328766 0.032359081419624215
21 85 57	0.0026156997342781222 0.3893528183716075
21 85 57 18	0.020431948137087083 0.5219206680584552
21 85 57 30	0.2514328432594069 0.7306889352818372
21 85 57 52	0.024691358024691357 0.04279749478079332
21 85 57 83	0.01990914898147491 0.5219206680584552
21 85 57 92	0.019516955354964626 0.16597077244258873
21 85 57 99	0.13726169844020797 0.3987473903966597
21 85 58 18	0.0641025641025641 0.015657620041753653
21 85 58 20	0.9434432312095834 0.860125260960334
21 85 58 39	0.012446773665247298 0.03966597077244259
21 85 65 30	1.0 0.0407098121085595
21 85 67 21	0.7361100224892528 0.8935281837160751
21 85 67 61	0.15253284808263534 0.7766179540709812
21 85 69 21	0.7945839816255464 0.7755741127348643
21 85 69 61	0.2361088742148494 0.7066805845511482
21 85 72 30	1.0 0.2453027139874739
21 85 73 20	0.8589105440269209 0.8183716075156576
21 85 73 39	0.02181818181818182 0.021920668058455117
21 85 73 40	0.012877631980469942 0.022964509394572025
21 85 79 21	1.0 0.6169102296450939
21 85 79 28	0.006220839813374806 0.0041753653444676405
21 85 79 30	0.9843907351460222 0.7546972860125261
21 85 88 20	0.8271997650973867 0.8183716075156576
21 85 88 40	0.05408865418466955 0.35281837160751567
21 85 96 21	1.0 0.049060542797494784
21 85 109 12	0.09039297436352346 0.35281837160751567
21 85 109 20	0.5140041966973816 0.6388308977035491
21 85 115 20	0.6515037188746362 0.6325678496868476
21 85 120 21	0.8389923329682366 0.6346555323590815
21 85 121 30	0.7244258872651357 0.38100208768267224
21 85 123 20	0.8026909799061698 0.860125260960334
21 85 123 39	0.010428305400372439 0.021920668058455117
21 85 125 30	0.7748344370860927 0.06993736951983298
21 86 2 12	0.000671366230278617 0.022964509394572025
21 86 2 20	0.5414938771527541 0.8851774530271399
21 86 2 40	0.003558367801351475 0.4290187891440501
21 86 2 57	0.13166765813999604 0.35177453027139877
21 86 4 20	0.639524136080384 0.7734864300626305
21 86 10 30	0.5906801007556675 0.1304801670146138
21 86 14 20	1.0 0.6169102296450939
21 86 21	0.7425195364404201 1.0
21 86 21 18	0.039333576018976406 0.906054279749478
21 86 21 27	0.19031135727416137 0.7400835073068893
21 86 21 83	0.039887637801973734 0.906054279749478
21 86 21 92	0.16823511678081313 0.7400835073068893
21 86 21 95	1.847575000844496e-07 0.0041753653444676405
21 86 28 30	0.3124470787468247 0.35908141962421714
21 86 30	0.816414686825054 0.767223382045929
21 86 30 18	0.018585564059990012 0.6033402922755741
21 86 30 27	0.07748811752844592 0.5469728601252609
21 86 30 83	0.018428294552891668 0.6033402922755741
21 86 30 92	0.07384404220639959 0.5469728601252609
21 86 35 80	0.023429710867397806 0.033402922755741124
21 86 38 80	0.007837626265007969 0.3653444676409186
21 86 53	0.3063118811881188 0.2588726513569937
21 86 53 30	0.5609903381642513 0.17118997912317327
21 86 53 52	0.145985401459854 0.0511482254697286
21 86 53 99	0.39010644959298685 0.19102296450939457
21 86 55 12	1.0 0.35177453027139877
21 86 55 20	0.4564958283671037 0.6388308977035491
21 86 61	0.18784788037428168 0.8507306889352818
21 86 61 18	0.057290981487591125 0.8089770354906054
21 86 61 27	0.11631971032883366 0.6471816283924844
21 86 61 30	0.12967819522726284 0.5219206680584552
21 86 61 52	0.0021922337424305043 0.0720250521920668
21 86 61 83	0.0563753979309545 0.8089770354906054
21 86 61 84	0.05721405685805828 0.46868475991649267
21 86 61 92	0.10575770686319852 0.6471816283924844
21 86 61 99	0.11145365853658537 0.7400835073068893
21 86 75 20	0.6009049773755656 0.23173277661795408
21 86 108 12	1.0 0.35177453027139877
21 86 108 20	0.9604220499569337 0.6252609603340292
21 86 110 20	1.0 0.3298538622129436
21 92	0.04899777282850779 0.2651356993736952
21 92 3 68	0.11600719424460432 0.12317327766179541
21 92 15 80	0.0014867766143706863 0.3559498956158664
21 92 18	0.05907048015318629 0.8517745302713987
21 92 18 18	0.05681177072934276 0.8799582463465553
21 92 18 27	0.05718332310505836 0.8288100208768268
21 92 18 83	0.054078274800357914 0.8799582463465553
21 92 18 92	0.058302093674524734 0.837160751565762
21 92 19 84	0.026445336537052774 0.6534446764091858
21 92 19 121	0.018504240555127217 0.008350730688935281
21 92 27	0.26104298130729847 0.9405010438413361
21 92 27 18	0.07546649416813862 0.8872651356993737
21 92 27 27	0.15619733732644944 0.8162839248434238
21 92 27 52	0.14320137693631668 0.35177453027139877
21 92 27 83	0.07699478886434832 0.8872651356993737
21 92 27 92	0.13297908520711765 0.824634655532359
21 92 33 98	0.040099214551467546 0.09916492693110647
21 92 34 30	0.03256675412872357 0.17536534446764093
21 92 45 110	0.024443088056966607 0.8851774530271399
21 92 52	0.007371007371007371 0.0010438413361169101
21 92 77 12	0.1451808582341047 0.5187891440501043
21 92 77 20	0.27243822674418605 0.39979123173277664
21 92 83	0.05815410838722615 0.8538622129436325
21 92 83 18	0.05849617147160232 0.8799582463465553
21 92 83 27	0.057412447187614436 0.8288100208768268
21 92 83 83	0.057553793122045414 0.8799582463465553
21 92 83 92	0.056870535469292875 0.837160751565762
21 92 85 1	0.0028870283595016544 0.12421711899791232
21 92 85 12	0.031678024424802644 0.407098121085595
21 92 85 20	0.20080872684802034 0.8549060542797495
21 92 85 39	0.003936238099432984 0.615866388308977
21 92 85 40	0.002968946119408294 0.3914405010438413
21 92 86 21	0.43713105449041373 0.7588726513569938
21 92 86 30	0.27074010327022374 0.3068893528183716
21 92 86 61	0.13507967471436172 0.6315240083507306
21 92 92	0.23084479371316308 0.9102296450939458
21 92 92 18	0.07352823160098862 0.8716075156576201
21 92 92 27	0.15960348171039465 0.8235908141962421
21 92 92 30	0.28586350974930363 0.35386221294363257
21 92 92 33	0.03241119659518743 0.35177453027139877
21 92 92 52	0.2592827673754364 0.35177453027139877
21 92 92 83	0.07233268349292964 0.8716075156576201
21 92 92 92	0.13692734934015166 0.81419624217119
21 92 95 21	0.34201077199281865 0.5271398747390397
21 92 95 30	0.07150908898252543 0.8079331941544885
21 92 98 33	0.10420032310177706 0.12317327766179541
21 92 98 52	0.20806451612903226 0.12317327766179541
21 92 104 20	0.2950124688279302 0.48329853862212946
21 92 104 39	0.16088549380310235 0.24739039665970772
21 92 105 20	0.2994026879044301 0.3945720250521921
21 92 122 20	0.05312601230968578 0.15762004175365343
21 92 126 21	0.48587081891580164 0.6450939457202505
21 92 126 61	0.15138764384112988 0.6471816283924844
21 93 28	1.0 0.019832985386221295
21 93 30	0.5862068965517241 0.017745302713987474
21 93 45	1.0 0.007306889352818371
21 93 52	0.42857142857142855 0.009394572025052192
21 95	1.0152696556205328e-05 0.0010438413361169101
21 95 3 68	0.25 0.35177453027139877
21 95 7 20	0.6050044682752458 0.2453027139874739
21 95 14 20	0.8511101436656509 0.7546972860125261
21 95 15 80	0.0031255280308869204 0.38100208768267224
21 95 19 84	0.026795533372811098 0.4697286012526096
21 95 21	0.95018281535649 0.7682672233820459
21 95 21 18	0.009495085363866876 0.38308977035490605
21 95 21 27	0.04854398351565104 0.31210855949895616
21 95 21 83	0.009262806145319696 0.38308977035490605
21 95 21 92	0.044642608332172214 0.31210855949895616
21 95 27 18	0.036066276246250535 0.5104384133611691
21 95 27 27	0.00023851489402748182 0.3569937369519833
21 95 27 30	0.9754323163718771 0.7202505219206681
21 95 27 92	0.00011981892935286182 0.3559498956158664
21 95 27 99	0.23642732049036777 0.06680584551148225
21 95 28	0.004039923954372623 0.015657620041753653
21 95 28 30	0.37957610789980734 0.4519832985386221
21 95 28 52	0.11282753226437231 0.05741127348643006
21 95 28 99	0.19964809384164223 0.4572025052192067
21 95 30	0.7646953082868956 0.9457202505219207
21 95 30 18	0.04593261940173718 0.8757828810020877
21 95 30 27	0.1776700280864612 0.8058455114822547
21 95 30 30	0.1358936484490399 0.23695198329853862
21 95 30 83	0.04536660808491479 0.8757828810020877
21 95 30 92	0.1548763649800242 0.8068893528183716
21 95 32 30	1.0 0.708768267223382
21 95 33	0.023981648825246768 0.36012526096033404
21 95 33 30	0.7560209424083769 0.534446764091858
21 95 34 52	0.4 0.014613778705636743
21 95 35 80	0.03349282296650718 0.032359081419624215
21 95 38 80	0.010319385822061218 0.3173277661795407
21 95 45	0.007371007371007371 0.007306889352818371
21 95 52	0.02901979630690745 0.4373695198329854
21 95 52 27	0.02250777202072539 0.16805845511482254
21 95 52 30	0.5373475609756098 0.4196242171189979
21 95 52 52	0.05542658154381892 0.059498956158663886
21 95 52 92	0.02077105848087683 0.16701461377870563
21 95 52 99	0.3165072257276613 0.35386221294363257
21 95 52 121	0.11581632653061225 0.017745302713987474
21 95 53	0.015282392026578074 0.021920668058455117
21 95 53 30	0.42412193505632867 0.7463465553235908
21 95 53 52	0.10346110904354298 0.06263048016701461
21 95 53 83	0.018821603927986905 0.0407098121085595
21 95 53 99	0.19447026022304834 0.3935281837160752
21 95 56	0.012491781722550954 0.03966597077244259
21 95 56 20	0.7538015930485156 0.38100208768267224
21 95 56 30	0.29014925373134326 0.31106471816283926
21 95 56 99	0.17128987517337033 0.2578288100208768
21 95 59 30	0.9648727038349983 0.6951983298538622
21 95 60 20	0.5391705069124424 0.06993736951983298
21 95 75 20	0.7018808226401828 0.68580375782881
21 95 75 21	0.9770833333333333 0.1430062630480167
21 95 77 12	0.0032678043466984803 0.04592901878914405
21 95 77 20	0.5361195158850227 0.8444676409185804
21 95 81 20	0.708629037606951 0.7922755741127349
21 95 81 40	0.04261990477296481 0.38308977035490605
21 95 85 12	0.2311111111111111 0.10855949895615867
21 95 85 20	0.15462471189497945 0.395615866388309
21 95 91 20	0.8796296296296297 0.2640918580375783
21 95 92 18	0.03889713348433961 0.5104384133611691
21 95 92 27	0.00012684658026432215 0.38308977035490605
21 95 92 30	0.9754172596713676 0.7202505219206681
21 95 92 83	0.03994225216554379 0.5104384133611691
21 95 92 92	0.00011793272577805337 0.3559498956158664
21 95 93 30	0.8143555054490793 0.4519832985386221
21 95 95 18	0.065439672801636 0.011482254697286013
21 95 95 30	0.0885040885040885 0.3444676409185804
21 95 95 83	0.06584362139917696 0.011482254697286013
21 95 97 30	1.0 0.708768267223382
21 95 98 30	0.8605482717520858 0.42588726513569936
21 95 99	0.09725330620549338 0.4906054279749478
21 95 99 18	0.012249094729312888 0.22964509394572025
21 95 99 27	0.03822393822393822 0.174321503131524
21 95 99 83	0.012315930388219544 0.22964509394572025
21 95 99 92	0.03841653666146646 0.1732776617954071
21 95 104 12	0.0063025210084033615 0.026096033402922755
21 95 104 20	0.45075070337356365 0.9029227557411273
21 95 104 39	0.00010220218820264004 0.011482254697286013
21 95 104 57	0.014306801407970932 0.2630480167014614
21 95 105 20	0.5849419246147093 0.9342379958246346
21 95 105 40	0.0003516369625969315 0.05323590814196242
21 95 108 12	0.9174228675136116 0.35177453027139877
21 95 108 20	0.9451371571072319 0.7933194154488518
21 95 110 12	0.07299421009098428 0.36116910229645094
21 95 110 20	0.5676943699731903 0.7922755741127349
21 95 116 20	0.46016771488469604 0.07724425887265135
21 95 117 30	0.9841786877617497 0.4175365344467641
21 95 118 20	0.6710526315789473 0.029227557411273485
21 95 118 21	0.9577319587628866 0.1722338204592902
21 95 118 30	0.9808429118773946 0.7473903966597077
21 95 121 30	0.9548133595284872 0.31524008350730687
21 95 122 20	0.2061708214139763 0.7317327766179541
21 95 124 30	0.9983327775925308 0.6951983298538622
21 95 126 21	0.78125 0.5292275574112735
21 95 126 61	0.04515418502202643 0.31106471816283926
21 98 27 27	0.3333333333333333 0.35177453027139877
21 98 30	1.0 0.36012526096033404
21 98 30 92	0.03700414446417999 0.1304801670146138
21 98 33	0.5058651026392962 0.36012526096033404
21 98 52	1.0 0.35177453027139877
21 98 105 20	1.0 0.008350730688935281
21 100 20	1.0 0.008350730688935281
21 100 35	1.0 0.008350730688935281
21 100 45 30	1.0 0.008350730688935281
21 102 37	1.0 0.013569937369519834
21 104 20	0.48173448173448175 0.7860125260960334
21 104 20 18	0.02907375932825321 0.7254697286012526
21 104 20 27	0.11869247857822914 0.627348643006263
21 104 20 83	0.02857000647055896 0.7254697286012526
21 104 20 92	0.100897984352719 0.627348643006263
21 104 20 95	9.397620365896349e-06 0.0041753653444676405
21 104 20 117	0.0023928215353938185 0.0041753653444676405
21 104 35 80	0.0010719650577003998 0.3162839248434238
21 104 39	0.9441942746863944 0.8716075156576201
21 104 39 18	0.009420253207235456 0.33089770354906056
